objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo001,1991-001-143-845.jpg,,,1990-1991 Men's basketball season,Scarborough Photography,1991,Campbell University men's basketball team visiting the United States Capitol,"Campbell University (Buies Creek, N.C.) -- Basketball","Washington, DC",38.889805,-77.009056,"1991-001-143 CU Photo Archive, Wiggins Memorial Library.",1991-001-143-845,Image;StillImage,image/jpeg,eng,"Copyright Campbell University. The materials in this collection are made available for use in research, teaching and private study. Images and text may not be used for any commercial purposes without prior permission from Campbell University.",http://rightsstatements.org/vocab/InC/1.0/
demo002,1902-Orchestra.jpg,,,Buies Creek Academy orchestra,,1902,Buies Creek Academy band,Bands,"Buies Creek, NC",35.413216,-78.735573,"CU Photo Archive, Wiggins Memorial Library.",1902-Orchestra,Image;StillImage,image/jpeg,eng,"Copyright Campbell University. The materials in this collection are made available for use in research, teaching and private study. Images and text may not be used for any commercial purposes without prior permission from Campbell University.",http://rightsstatements.org/vocab/InC/1.0/
demo003,1967-Woman-Studying.jpg,,,Student studying in Carrie Rich Library,Scarborough Photography,1967,Student studying in Carrie Rich Library,Studying -- 1960-1970,"Buies Creek, NC",35.413216,-78.735573,"CU Photo Archive, Wiggins Memorial Library.",1967-Woman-Studying,Image;StillImage,image/jpeg,eng,"Copyright Campbell University. The materials in this collection are made available for use in research, teaching and private study. Images and text may not be used for any commercial purposes without prior permission from Campbell University.",http://rightsstatements.org/vocab/InC/1.0/
demo004,1978-Band.jpg,,,Campbell College band,Scarborough Photography,1978,Campbell College Band,Bands,,35.413216,-78.735573,"CU Photo Archive, Wiggins Memorial Library.",1978-Band,Image;StillImage,image/jpeg,eng,"Copyright Campbell University. The materials in this collection are made available for use in research, teaching and private study. Images and text may not be used for any commercial purposes without prior permission from Campbell University.",http://rightsstatements.org/vocab/InC/1.0/
demo005,2015-science-lab.jpg,,,Pharmacy student,,2015,Pharmacy student,Pharmacy,"Buies Creek, NC",35.413216,-78.735573,"CU Photo Archive, Wiggins Memorial Library.",2015-science-lab,Image;StillImage,image/jpeg,eng,"Copyright Campbell University. The materials in this collection are made available for use in research, teaching and private study. Images and text may not be used for any commercial purposes without prior permission from Campbell University.",http://rightsstatements.org/vocab/InC/1.0/
demo006,d-1969-007-001-047.jpg,,,Jazz ensemble visits Campbell College,,1969,Jazz band visits Campbell College,Bands,"Buies Creek, NC",35.413216,-78.735573,"CU Photo Archive, Wiggins Memorial Library.",1969-007-001-047,Image;StillImage,image/jpeg,eng,"Copyright Campbell University. The materials in this collection are made available for use in research, teaching and private study. Images and text may not be used for any commercial purposes without prior permission from Campbell University.",http://rightsstatements.org/vocab/InC/1.0/
demo007,d-1969-035-001-051.jpg,,,Campbell College student operates telephone switchboard,Scarborough Photography,1969,Campbell College student operates telephone switchboard,Telephone switchboards,"Buies Creek, NC",35.413216,-78.735573,"CU Photo Archive, Wiggins Memorial Library.",1969-035-001-051,Image;StillImage,image/jpeg,eng,"Copyright Campbell University. The materials in this collection are made available for use in research, teaching and private study. Images and text may not be used for any commercial purposes without prior permission from Campbell University.",http://rightsstatements.org/vocab/InC/1.0/
demo008,d-1969-467-001-032.jpg,,,President Wiggins lectures students,Scarborough Photography,1969,President Wiggins lectures students,Lectures,"Buies Creek, NC",35.413216,-78.735573,"CU Photo Archive, Wiggins Memorial Library.",1969-467-001-032,Image;StillImage,image/jpeg,eng,"Copyright Campbell University. The materials in this collection are made available for use in research, teaching and private study. Images and text may not be used for any commercial purposes without prior permission from Campbell University.",http://rightsstatements.org/vocab/InC/1.0/
demo009,d-1969-469-006-084.jpg,,,Girls dorm council,Scarborough Photography,1969,Girls dorm council,Student government,"Buies Creek, NC",35.413216,-78.735573,"CU Photo Archive, Wiggins Memorial Library.",1969-469-006-084,Image;StillImage,image/jpeg,eng,"Copyright Campbell University. The materials in this collection are made available for use in research, teaching and private study. Images and text may not be used for any commercial purposes without prior permission from Campbell University.",http://rightsstatements.org/vocab/InC/1.0/
demo010,d-1969-469-007-100.jpg,,,Air Force recruitment table,Scarborough Photography,1969,Air Force recruitment table,United States Air Force,"Buies Creek, NC",35.413216,-78.735573,"CU Photo Archive, Wiggins Memorial Library.",1969-469-007-100,Image;StillImage,image/jpeg,eng,"Copyright Campbell University. The materials in this collection are made available for use in research, teaching and private study. Images and text may not be used for any commercial purposes without prior permission from Campbell University.",http://rightsstatements.org/vocab/InC/1.0/
